"unlist.Closeness.","unlist.CN_Betweenness.","unlist.CN_CBrokerage.","unlist.CN_Eigen.","unlist.CN_Info.","unlist.cutpoints_strong.","unlist.cutpoints_weak.","unlist.InDegree.","unlist.OutDegree.","unlist.TotalDegree."
98.1261904761905,0,0,0.118581166079114,0.000663917997473454,FALSE,TRUE,0,1.5,0.6
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
2,0,0,0,0.000663917997473455,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
16,45.3333333333333,1,9.61867208153564e-43,0.000663917997473445,FALSE,TRUE,0.45,10,4.18
10.8833333333333,0,0,0,0.000663917997473491,FALSE,FALSE,0,0.5,0.2
10.8833333333333,0,0,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473494,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
30.8285714285714,0,0,6.54282642048376e-22,0.000663917997473468,FALSE,TRUE,0,1,0.4
0,0,0,0,0.000663917997473514,FALSE,FALSE,0.15,0,0.06
1,0,1,0,0.000663917997473517,FALSE,FALSE,0,0.5,0.2
23.6666666666667,100.8,1,0,0.000663917997473443,FALSE,TRUE,0.6,5.5,2.44
1,0,0,0,0.000663917997473473,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
5,11.7,0,0,0.000663917997473444,FALSE,FALSE,0.45,2.5,1.18
3,0,0,0,0.000663917997473449,FALSE,FALSE,0,1.5,0.6
1,0,0,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
18.05,0,0,1.68326761426874e-42,0.00066391799747346,FALSE,FALSE,0.15,1,0.46
9.16666666666667,0,0,0,0.000663917997473469,FALSE,FALSE,0,1,0.4
1,0,0,0,0.000663917997473503,FALSE,FALSE,0,0.5,0.2
0,0,0,0,4.23036030880998e-05,FALSE,FALSE,0.15,0,0.06
1,0,1,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
1,0,1,0,0.000663917997473478,FALSE,FALSE,0,0.5,0.2
10.75,87,1,2.39011920596093e-14,0.000663917997473449,TRUE,FALSE,0.6,1.5,0.84
0,0,0,0,0.00066391799747347,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
23.1666666666667,0,0,0,0.000663917997473448,FALSE,TRUE,0,6.5,2.6
16.1666666666667,34.2,1,0,0.000663917997473449,FALSE,TRUE,0.3,1.5,0.72
10.8833333333333,0,0,0,0.000663917997473466,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473461,FALSE,FALSE,0.45,0,0.18
2,3,1,0,0.00066391799747345,FALSE,FALSE,0.45,1,0.58
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,1,0,0.000663917997473471,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,0,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
33.6333333333333,0,0,1.61810379500416e-29,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.3,0,0.12
1,0,1,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,1,0.4
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
3,0,0,0,0.000663917997473449,FALSE,FALSE,0,1.5,0.6
1,0,1,0,0.000663917997473467,FALSE,FALSE,0,0.5,0.2
21.8,311.5,0,0,0.000663917997473443,FALSE,FALSE,1.05,2,1.22
0,0,0,0,0.000663917997473448,FALSE,TRUE,0.75,0,0.3
38.55,1415.41810966811,1,1.21645499649906e-10,0.000663917997473442,TRUE,TRUE,1.5,8.5,4
4,0,1,0,0.000663917997473504,FALSE,TRUE,0,2,0.8
18.6666666666667,144.3,1,0,0.000663917997473446,FALSE,FALSE,0.15,2,0.86
1,1.5,0,0,0.000663917997473453,FALSE,FALSE,0.15,0.5,0.26
1,0,0,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
1,4,1,0,0.000663917997473449,FALSE,FALSE,0.3,0.5,0.32
3.33333333333333,0,0,0,0.00066391799747347,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473453,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
14.6666666666667,0,1,0,0.000663917997473465,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
1,0,0,0,0.000663917997473493,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,-4.41341113934305e-05,FALSE,TRUE,0.3,0,0.12
0,0,0,0,0.000663917997473455,FALSE,FALSE,0.3,0,0.12
1,0,0,0,0.000663917997473491,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000663917997473478,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473469,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.3,0,0.12
0,0,0,0,0.000663917997473467,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473459,FALSE,FALSE,0.6,0,0.24
0,0,0,0,0.000220384745518882,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473468,FALSE,FALSE,0.15,0,0.06
1,0,0,0,0.000663917997473453,FALSE,FALSE,0.15,0.5,0.26
0,0,0,0,0.000663917997473474,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473482,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473459,FALSE,FALSE,0.6,0,0.24
0,0,0,0,0.000663917997473524,FALSE,FALSE,0.15,0,0.06
0,0,0,0,4.54220876159308e-05,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473472,FALSE,FALSE,0.15,0,0.06
14.6666666666667,32,0,0,0.000663917997473454,FALSE,FALSE,0.3,0.5,0.32
1,0,1,0,0.000663917997473478,FALSE,FALSE,0,0.5,0.2
0,0,0,0,0.000297356623067662,FALSE,FALSE,0.15,0,0.06
0,0,0,0,0.000663917997473492,FALSE,FALSE,0.3,0,0.12
1,0,1,0,0.000663917997473478,FALSE,FALSE,0,0.5,0.2
1,0.25,1,0,0.000663917997473449,FALSE,FALSE,0.75,0.5,0.5
